num_ubers,num_cummters,total_Uber_naive_cost,total_Uber_scheduled_cost,total_Uber_distance,total_Uber_energy,total_Uber_naive_energy_charged,total_Uber_scheduled_energy_charged,total_Uber_naive_time_plugged_in,total_Uber_scheduled_time_plugged_in,total_Commuter_naive_cost,total_Commuter_scheduled_cost,total_Commuter_distance,total_Commuter_energy,total_Commuter_naive_energy_charged,total_Commuter_scheduled_energy_charged,total_Commuter_naive_time_plugged_in,total_Commuter_scheduled_time_plugged_in
1.010000000000000000e+02,8.990000000000000000e+02,1.747268453477438186e+02,1.518416250278499291e+01,5.021001939565124922e+05,2.224164327948876235e+03,1.909788101243649862e+03,3.143762267052273387e+02,1.760468139099783400e+02,1.432000000000000000e+03,3.458988963298940007e+02,2.505262157326951069e+02,1.931196496244749824e+03,3.951021132709023732e+03,1.764303091275186262e+03,2.186718041433837243e+03,1.764639714509648627e+02,1.248500000000000000e+04
1.050000000000000000e+02,8.950000000000000000e+02,1.808631828416512519e+02,4.124953574170643122e+01,4.361102938214668538e+05,2.059943705568695805e+03,1.786946380371543910e+03,2.729973251971515538e+02,1.740609534359785755e+02,8.570000000000000000e+02,4.112999531791870709e+02,3.723904517268886138e+02,1.759293942758858748e+03,4.498015427540113706e+03,2.047283082505996845e+03,2.450732345034117316e+03,2.014937530616883237e+02,8.950000000000000000e+03
7.900000000000000000e+01,9.210000000000000000e+02,2.482296312001850538e+02,2.739746249541945389e+01,3.556220570770290797e+05,1.919662545831645957e+03,1.666623029437065497e+03,2.530395163945801755e+02,1.761735301621056351e+02,7.110000000000000000e+02,5.295975624318344899e+02,3.493415706055972692e+02,2.593031341645685643e+03,4.393431842846590371e+03,2.253494698564658847e+03,2.139937144281931523e+03,2.239920348961075263e+02,5.512000000000000000e+03
1.130000000000000000e+02,8.870000000000000000e+02,2.983402430161642087e+02,4.237093243347350580e+01,4.482394182462578174e+05,2.569694051452132953e+03,2.226443969834799645e+03,3.432500816173326257e+02,2.109854089211477515e+02,1.026000000000000000e+03,3.661436921585599293e+02,4.273602350714930935e+02,1.814093120854985045e+03,4.129148299044862142e+03,1.931400704822623538e+03,2.197747594222238149e+03,1.811404323124106384e+02,4.725000000000000000e+03
1.060000000000000000e+02,8.940000000000000000e+02,2.517288060549728357e+02,5.166954671015077594e+01,5.453136768265763531e+05,2.480417004613004337e+03,1.960837705870388163e+03,5.195792987426166292e+02,1.954796204450328219e+02,2.757000000000000000e+03,3.906725689968893676e+02,3.518678743715175301e+02,1.701550804876028224e+03,4.260875604914968790e+03,1.965899037450971491e+03,2.294976567463998435e+03,1.807390692070168257e+02,8.816000000000000000e+03
1.050000000000000000e+02,8.950000000000000000e+02,1.567585147917623374e+02,5.594446796386655052e+01,4.378311850704362150e+05,2.048713200264384341e+03,1.575203960444063569e+03,4.735092398203202038e+02,1.477962576936148764e+02,2.217000000000000000e+03,3.160210917945977371e+02,2.232702806571783469e+02,1.698906571808708577e+03,3.595554843075453391e+03,1.836942087562247025e+03,1.758612755513206139e+03,1.695298225994493464e+02,1.132700000000000000e+04
9.500000000000000000e+01,9.050000000000000000e+02,1.524271204261102923e+02,5.953793790687267773e+01,3.991603816978771356e+05,2.167092587208623627e+03,1.639897073272878743e+03,5.271955139357447706e+02,1.561631990194292996e+02,1.048000000000000000e+03,6.192468875815967522e+02,2.426086795355570871e+02,2.327465207600656868e+03,4.904187326428640517e+03,2.985626329444850853e+03,1.918560996983793075e+03,2.806361411144214912e+02,8.909000000000000000e+03
1.050000000000000000e+02,8.950000000000000000e+02,2.552104917522677283e+02,4.047523336327798660e+01,4.513609433493182878e+05,2.562977245106484133e+03,2.100759010946640956e+03,4.622182341598433482e+02,1.999773840151743514e+02,2.013000000000000000e+03,4.219218103319730062e+02,2.793598812550663979e+02,2.286969339237521581e+03,4.067235547592863441e+03,2.114880775657424692e+03,1.952354771935439203e+03,2.008256255645623298e+02,9.839000000000000000e+03
9.200000000000000000e+01,9.080000000000000000e+02,2.431759625881708189e+02,5.909110198038177941e+01,4.994625981939376798e+05,2.290660571060933307e+03,1.899124607778470136e+03,3.915359632824627170e+02,1.748815993823755832e+02,1.545000000000000000e+03,4.952336083645399754e+02,3.810532994430668623e+02,2.528873481800738318e+03,4.510343654002052972e+03,2.251855613878141867e+03,2.258488040123910650e+03,2.123043128727960038e+02,6.931000000000000000e+03
1.090000000000000000e+02,8.910000000000000000e+02,3.337028140596473236e+02,3.901391552059693879e+01,4.907172714521938469e+05,2.781624664224371372e+03,2.484904479334180451e+03,2.967201848901912058e+02,2.358268948448083222e+02,7.330000000000000000e+02,4.448368795957256339e+02,3.965220999598055300e+02,2.105609700685380631e+03,4.602259668616214185e+03,2.075317481034677712e+03,2.526942187581535563e+03,1.998330424908025407e+02,1.121300000000000000e+04
