num_ubers,num_cummters,total_Uber_naive_cost,total_Uber_scheduled_cost,total_Uber_distance,total_Uber_energy,total_Uber_naive_energy_charged,total_Uber_scheduled_energy_charged,total_Uber_naive_time_plugged_in,total_Uber_scheduled_time_plugged_in,total_Commuter_naive_cost,total_Commuter_scheduled_cost,total_Commuter_distance,total_Commuter_energy,total_Commuter_naive_energy_charged,total_Commuter_scheduled_energy_charged,total_Commuter_naive_time_plugged_in,total_Commuter_scheduled_time_plugged_in
9.400000000000000000e+01,9.060000000000000000e+02,2.597170274973975097e+02,8.110379420911658599e+01,4.224578884039160330e+05,2.184027438877649274e+03,1.708708155819200783e+03,4.753192830584492867e+02,1.600190553260179342e+02,1.744000000000000000e+03,5.540774653806646484e+02,4.563242702679233389e+02,2.926892059593134945e+03,4.896721646318878811e+03,2.420211331216781673e+03,2.476510315102101231e+03,2.278456896391623729e+02,9.470000000000000000e+03
1.010000000000000000e+02,8.990000000000000000e+02,2.481815925830982223e+02,5.645539437558510087e+01,4.430767221528537339e+05,2.502092431576417766e+03,1.988031673887837769e+03,5.140607576885799972e+02,1.873123717723318862e+02,2.067000000000000000e+03,4.920581323534145213e+02,3.121768830416581864e+02,1.627685547329870360e+03,4.081790143018685285e+03,2.178743513129292296e+03,1.903046629889392307e+03,2.120688946054656867e+02,5.505000000000000000e+03
9.600000000000000000e+01,9.040000000000000000e+02,2.918865514229482301e+02,7.053965803271316304e+01,4.540158025692458614e+05,2.520123018842881720e+03,2.093631944958864551e+03,4.264910738840176236e+02,1.873534988483052075e+02,1.998000000000000000e+03,3.218818476549283218e+02,1.802260792853888347e+02,2.086468661824386800e+03,3.478551118194680384e+03,1.930791266409317586e+03,1.547759851785361207e+03,1.697465352634764599e+02,6.899000000000000000e+03
7.700000000000000000e+01,9.230000000000000000e+02,2.571877636138999605e+02,3.203726963596626831e+01,4.014823028412646381e+05,1.725597802488938441e+03,1.519445567316785173e+03,2.061522351721525865e+02,1.404657410452021509e+02,1.048000000000000000e+03,5.365548720042321520e+02,4.092761288942597275e+02,2.094137186568626475e+03,4.850391280277897749e+03,2.683085068378687083e+03,2.167306211899211576e+03,2.578485728796976559e+02,6.797000000000000000e+03
9.000000000000000000e+01,9.100000000000000000e+02,1.784872806904053846e+02,5.577237153966640903e+01,4.732596781471965369e+05,2.345525259951299631e+03,1.761138849787451818e+03,5.843864101638483817e+02,1.596649607422729673e+02,1.408000000000000000e+03,4.677739686275850772e+02,3.579695679728338860e+02,2.460085193020160204e+03,4.369188245425770219e+03,2.230427278495729752e+03,2.138760966930041832e+03,2.150070075442732218e+02,7.442000000000000000e+03
9.600000000000000000e+01,9.040000000000000000e+02,2.083026570332536380e+02,5.529548132939005711e+01,4.129567275128532783e+05,2.239206237444889211e+03,1.842899113233275784e+03,3.963071242116134272e+02,1.707215176774089684e+02,1.175000000000000000e+03,4.306677977609102754e+02,2.827006085484368896e+02,3.107721115551179537e+03,4.180227771311935612e+03,2.132478939892278959e+03,2.047748831419655517e+03,2.118860065178271270e+02,5.688000000000000000e+03
9.400000000000000000e+01,9.060000000000000000e+02,1.825913027486919589e+02,2.242042369335863938e+01,5.913828696038268972e+05,2.007235494983283161e+03,1.643532388620701795e+03,3.637031063625817069e+02,1.550652134523480470e+02,1.892000000000000000e+03,3.317695276640474162e+02,2.972404222640260514e+02,1.754419047927068732e+03,3.887395354249989396e+03,1.610470496863945755e+03,2.276924857386043641e+03,1.562602547447565087e+02,1.254000000000000000e+04
1.070000000000000000e+02,8.930000000000000000e+02,2.631273532433281730e+02,6.703163182577159773e+01,5.139696307449403103e+05,2.560271245560194984e+03,2.134562518221583105e+03,4.257087273386111406e+02,2.039947411202932983e+02,8.790000000000000000e+02,3.646579631783707782e+02,3.996853772258467075e+02,2.353949701083547552e+03,4.097096596446043804e+03,2.062026784594798301e+03,2.035069811851247096e+03,1.878252595724175649e+02,5.430000000000000000e+03
1.200000000000000000e+02,8.800000000000000000e+02,2.956178840192772554e+02,9.021915016330588344e+01,5.105269314240612439e+05,2.959741626488013935e+03,2.305463625706642233e+03,6.542780007813711336e+02,2.119679630128263739e+02,3.151000000000000000e+03,4.184073899972028698e+02,3.521965668393363558e+02,1.891271504998368982e+03,4.121202355155559417e+03,1.817960394015360635e+03,2.303241961140200601e+03,1.846689559256449229e+02,1.387100000000000000e+04
1.110000000000000000e+02,8.890000000000000000e+02,2.503404532183544688e+02,6.658603543524780832e+01,5.024498910991867888e+05,2.458458843491905100e+03,2.026989570798429668e+03,4.314692726934758298e+02,1.812647792643698210e+02,1.463000000000000000e+03,5.043269471844914165e+02,3.172055570838547851e+02,1.954547501669845587e+03,4.427144341267527125e+03,2.310725346013053695e+03,2.116418995254471611e+03,2.141429147090824188e+02,8.112000000000000000e+03
