Date,Hour Ending,Location ID,Location Name,Location Type,Day Ahead,Real Time
8.9.2022,16,4479,LD.ASHBRNHM13.8,NETWORK NODE,259.05,213.46
8.9.2022,17,4479,LD.ASHBRNHM13.8,NETWORK NODE,262.41,206.64
8.9.2022,18,4479,LD.ASHBRNHM13.8,NETWORK NODE,276.06,214.16
8.9.2022,19,4479,LD.ASHBRNHM13.8,NETWORK NODE,248.3,248.81
8.9.2022,20,4479,LD.ASHBRNHM13.8,NETWORK NODE,231.99,250.33
8.9.2022,21,4479,LD.ASHBRNHM13.8,NETWORK NODE,168.64,176.24
8.9.2022,22,4479,LD.ASHBRNHM13.8,NETWORK NODE,127.57,114.95
8.9.2022,23,4479,LD.ASHBRNHM13.8,NETWORK NODE,94.75,103.02
8.9.2022,24,4479,LD.ASHBRNHM13.8,NETWORK NODE,95.1,104.83
8.10.2022,1,4479,LD.ASHBRNHM13.8,NETWORK NODE,122.09,93.75
8.10.2022,2,4479,LD.ASHBRNHM13.8,NETWORK NODE,125.67,106.48
8.10.2022,3,4479,LD.ASHBRNHM13.8,NETWORK NODE,106.94,111.42
8.10.2022,4,4479,LD.ASHBRNHM13.8,NETWORK NODE,101.66,133
8.10.2022,5,4479,LD.ASHBRNHM13.8,NETWORK NODE,92.17,88.46
8.10.2022,6,4479,LD.ASHBRNHM13.8,NETWORK NODE,90.15,85.52
8.10.2022,7,4479,LD.ASHBRNHM13.8,NETWORK NODE,101.2,94.66
8.10.2022,8,4479,LD.ASHBRNHM13.8,NETWORK NODE,107.59,91.72
8.10.2022,9,4479,LD.ASHBRNHM13.8,NETWORK NODE,105.28,88.16
8.10.2022,10,4479,LD.ASHBRNHM13.8,NETWORK NODE,114.24,83.53
8.10.2022,11,4479,LD.ASHBRNHM13.8,NETWORK NODE,106.04,106.81
8.10.2022,12,4479,LD.ASHBRNHM13.8,NETWORK NODE,114.33,77.42
8.10.2022,13,4479,LD.ASHBRNHM13.8,NETWORK NODE,100.33,73.43
8.10.2022,14,4479,LD.ASHBRNHM13.8,NETWORK NODE,112.77,72.5
8.10.2022,15,4479,LD.ASHBRNHM13.8,NETWORK NODE,110.04,81.82
8.10.2022,16,4479,LD.ASHBRNHM13.8,NETWORK NODE,117.74,84.88
8.10.2022,17,4479,LD.ASHBRNHM13.8,NETWORK NODE,126.36,115.07
8.10.2022,18,4479,LD.ASHBRNHM13.8,NETWORK NODE,126.29,126.93
8.10.2022,19,4479,LD.ASHBRNHM13.8,NETWORK NODE,128.33,120.04
8.10.2022,20,4479,LD.ASHBRNHM13.8,NETWORK NODE,128.46,114.34
8.10.2022,21,4479,LD.ASHBRNHM13.8,NETWORK NODE,117.87,103.5
8.10.2022,22,4479,LD.ASHBRNHM13.8,NETWORK NODE,92.88,76.69
8.10.2022,23,4479,LD.ASHBRNHM13.8,NETWORK NODE,81.74,67.44
8.10.2022,24,4479,LD.ASHBRNHM13.8,NETWORK NODE,82.04,68.14
8.11.2022,1,4479,LD.ASHBRNHM13.8,NETWORK NODE,81.51,66.19
8.11.2022,2,4479,LD.ASHBRNHM13.8,NETWORK NODE,65.51,66.54
8.11.2022,3,4479,LD.ASHBRNHM13.8,NETWORK NODE,63.41,66.11
8.11.2022,4,4479,LD.ASHBRNHM13.8,NETWORK NODE,63.43,66
8.11.2022,5,4479,LD.ASHBRNHM13.8,NETWORK NODE,64.27,70.5
8.11.2022,6,4479,LD.ASHBRNHM13.8,NETWORK NODE,65.7,128.85
8.11.2022,7,4479,LD.ASHBRNHM13.8,NETWORK NODE,80.82,114.08
8.11.2022,8,4479,LD.ASHBRNHM13.8,NETWORK NODE,105.53,126.67
8.11.2022,9,4479,LD.ASHBRNHM13.8,NETWORK NODE,91.27,127.27
8.11.2022,10,4479,LD.ASHBRNHM13.8,NETWORK NODE,87.7,77.93
8.11.2022,11,4479,LD.ASHBRNHM13.8,NETWORK NODE,93.81,69.21
8.11.2022,12,4479,LD.ASHBRNHM13.8,NETWORK NODE,99.37,71.73
8.11.2022,13,4479,LD.ASHBRNHM13.8,NETWORK NODE,97.55,71.54
8.11.2022,14,4479,LD.ASHBRNHM13.8,NETWORK NODE,109.9,75.56
8.11.2022,15,4479,LD.ASHBRNHM13.8,NETWORK NODE,110.73,74.5
8.11.2022,16,4479,LD.ASHBRNHM13.8,NETWORK NODE,122,76.38
8.11.2022,17,4479,LD.ASHBRNHM13.8,NETWORK NODE,128.35,72.03
8.11.2022,18,4479,LD.ASHBRNHM13.8,NETWORK NODE,149.95,81.77
8.11.2022,19,4479,LD.ASHBRNHM13.8,NETWORK NODE,139.56,89.16
8.11.2022,20,4479,LD.ASHBRNHM13.8,NETWORK NODE,133.69,90.87
8.11.2022,21,4479,LD.ASHBRNHM13.8,NETWORK NODE,126.47,98.37
8.11.2022,22,4479,LD.ASHBRNHM13.8,NETWORK NODE,104.27,88.92
8.11.2022,23,4479,LD.ASHBRNHM13.8,NETWORK NODE,92.64,81.33
8.11.2022,24,4479,LD.ASHBRNHM13.8,NETWORK NODE,81.21,77.98
8.12.2022,1,4479,LD.ASHBRNHM13.8,NETWORK NODE,79.22,75.86
8.12.2022,2,4479,LD.ASHBRNHM13.8,NETWORK NODE,71.61,76.36
8.12.2022,3,4479,LD.ASHBRNHM13.8,NETWORK NODE,67.05,65.41
8.12.2022,4,4479,LD.ASHBRNHM13.8,NETWORK NODE,65.31,61.84
8.12.2022,5,4479,LD.ASHBRNHM13.8,NETWORK NODE,65.43,60.14
8.12.2022,6,4479,LD.ASHBRNHM13.8,NETWORK NODE,67.07,63.5
8.12.2022,7,4479,LD.ASHBRNHM13.8,NETWORK NODE,70.26,65.06
8.12.2022,8,4479,LD.ASHBRNHM13.8,NETWORK NODE,94.22,68.59
8.12.2022,9,4479,LD.ASHBRNHM13.8,NETWORK NODE,87.08,58.25
8.12.2022,10,4479,LD.ASHBRNHM13.8,NETWORK NODE,69.74,57.32
8.12.2022,11,4479,LD.ASHBRNHM13.8,NETWORK NODE,71.63,54.34
8.12.2022,12,4479,LD.ASHBRNHM13.8,NETWORK NODE,78.81,54.29
8.12.2022,13,4479,LD.ASHBRNHM13.8,NETWORK NODE,78.75,56.14
8.12.2022,14,4479,LD.ASHBRNHM13.8,NETWORK NODE,89.19,59.03
8.12.2022,15,4479,LD.ASHBRNHM13.8,NETWORK NODE,87.11,61.23
8.12.2022,16,4479,LD.ASHBRNHM13.8,NETWORK NODE,87.83,65.46
8.12.2022,17,4479,LD.ASHBRNHM13.8,NETWORK NODE,83.7,63.49
8.12.2022,18,4479,LD.ASHBRNHM13.8,NETWORK NODE,91.52,73.46
8.12.2022,19,4479,LD.ASHBRNHM13.8,NETWORK NODE,99.58,75.81
8.12.2022,20,4479,LD.ASHBRNHM13.8,NETWORK NODE,91.67,68.07
8.12.2022,21,4479,LD.ASHBRNHM13.8,NETWORK NODE,78.43,65.93
8.12.2022,22,4479,LD.ASHBRNHM13.8,NETWORK NODE,73.97,60.76
8.12.2022,23,4479,LD.ASHBRNHM13.8,NETWORK NODE,81.99,56.91
8.12.2022,24,4479,LD.ASHBRNHM13.8,NETWORK NODE,80.11,57.91
8.13.2022,1,4479,LD.ASHBRNHM13.8,NETWORK NODE,74.72,55.05
8.13.2022,2,4479,LD.ASHBRNHM13.8,NETWORK NODE,72.03,60.34
8.13.2022,3,4479,LD.ASHBRNHM13.8,NETWORK NODE,65.94,63.22
8.13.2022,4,4479,LD.ASHBRNHM13.8,NETWORK NODE,62,61.91
8.13.2022,5,4479,LD.ASHBRNHM13.8,NETWORK NODE,59.66,65.08
8.13.2022,6,4479,LD.ASHBRNHM13.8,NETWORK NODE,60.45,64.88
8.13.2022,7,4479,LD.ASHBRNHM13.8,NETWORK NODE,63.29,72.05
8.13.2022,8,4479,LD.ASHBRNHM13.8,NETWORK NODE,63.61,66.44
8.13.2022,9,4479,LD.ASHBRNHM13.8,NETWORK NODE,64.99,58.68
8.13.2022,10,4479,LD.ASHBRNHM13.8,NETWORK NODE,61.12,52.72
8.13.2022,11,4479,LD.ASHBRNHM13.8,NETWORK NODE,64.24,54.37
8.13.2022,12,4479,LD.ASHBRNHM13.8,NETWORK NODE,64.87,57.81
8.13.2022,13,4479,LD.ASHBRNHM13.8,NETWORK NODE,64.61,61.09
8.13.2022,14,4479,LD.ASHBRNHM13.8,NETWORK NODE,64.8,59.11
8.13.2022,15,4479,LD.ASHBRNHM13.8,NETWORK NODE,65.78,58.01
8.13.2022,16,4479,LD.ASHBRNHM13.8,NETWORK NODE,69.25,57.8
8.13.2022,17,4479,LD.ASHBRNHM13.8,NETWORK NODE,71.31,57.71
8.13.2022,18,4479,LD.ASHBRNHM13.8,NETWORK NODE,85.67,59.1
8.13.2022,19,4479,LD.ASHBRNHM13.8,NETWORK NODE,88.8,59.16
8.13.2022,20,4479,LD.ASHBRNHM13.8,NETWORK NODE,86.75,58.73
8.13.2022,21,4479,LD.ASHBRNHM13.8,NETWORK NODE,79.4,73.26
8.13.2022,22,4479,LD.ASHBRNHM13.8,NETWORK NODE,67.87,57.8
8.13.2022,23,4479,LD.ASHBRNHM13.8,NETWORK NODE,73.95,54.14
8.13.2022,24,4479,LD.ASHBRNHM13.8,NETWORK NODE,81.29,54.83
8.14.2022,1,4479,LD.ASHBRNHM13.8,NETWORK NODE,64.88,59.19
8.14.2022,2,4479,LD.ASHBRNHM13.8,NETWORK NODE,59.92,68.07
8.14.2022,3,4479,LD.ASHBRNHM13.8,NETWORK NODE,58.96,62.6
